conditionName,apertureDegree,probeEccentricity,relativeTilt,trialNumber,probeAngle,absoluteTilt,reactionTime,stimulusTime,probeVelX,probeVelY,probeStartLocationX,probeStartLocationY,probeEndLocationX,probeEndLocationY,sceneIndex
ControlCondition,0,1,0,1,0,0,0.8331339,2,0,-0.2,1.5,0,1.5,-0.2,3
GlobalFlow,2,0,13.49788,2,-15,-1.502118,1.753162,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,5
FullFlow1,3,1,21.2729,3,0,21.2729,1.618996,2,0,-0.2,1,0,1,-0.2,4
LocalFlow,3,0,18.11818,4,15,33.11818,1.818732,2,-0.05176381,-0.1931852,1,0,1,0.2,6
ControlCondition,3,1,5.083366,5,15,20.08337,1.235346,2,-0.05176381,-0.1931852,1.5,0,1.5,0.2,3
FullFlow1,2,1,5.186991,6,15,20.18699,1.48457,2,-0.05176381,-0.1931852,1,0,1,0.2,4
ControlCondition,2,0,2.73994,7,-15,-12.26006,1.5533,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,3
GlobalFlow,0,1,8.255915,8,0,8.255915,0.9702053,2,0,-0.2,1,0,1,-0.2,5
GlobalFlow,0,1,24.26508,9,-15,9.265078,0.9190124,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,5
GlobalFlow,0,1,16.52435,10,15,31.52435,1.603972,2,-0.05176381,-0.1931852,1,0,1,0.2,5
LocalFlow,3,0,-6.674859,11,0,-6.674859,0.9206516,2,0,-0.2,1,0,1,-0.2,6
FullFlow1,0,1,22.24316,12,-15,7.243159,0.9525128,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,4
ControlCondition,3,0,0,13,0,0,0.4360652,2,0,-0.2,1,0,1,-0.2,3
ControlCondition,3,1,-12.34328,14,0,-12.34328,0.9362323,2,0,-0.2,1.5,0,1.5,-0.2,3
LocalFlow,0,1,11.67067,15,0,11.67067,1.169664,2,0,-0.2,1,0,1,-0.2,6
FullFlow1,0,0,7.277111,16,15,22.27711,1.250626,2,-0.05176381,-0.1931852,1,0,1,0.2,4
GlobalFlow,3,0,-6.17064,17,0,-6.17064,2.106355,2,0,-0.2,1,0,1,-0.2,5
GlobalFlow,3,0,1.600101,18,15,16.6001,1.237373,2,-0.05176381,-0.1931852,1,0,1,0.2,5
GlobalFlow,3,1,3.253841,19,0,3.253841,1.053989,2,0,-0.2,1,0,1,-0.2,5
