conditionName,apertureDegree,probeEccentricity,relativeTilt,trialNumber,probeAngle,absoluteTilt,reactionTime,stimulusTime,probeVelX,probeVelY,probeStartLocationX,probeStartLocationY,probeEndLocationX,probeEndLocationY,sceneIndex
ControlCondition,1,0,-28.94346,1,-15,-43.94346,4.892439,2,0.07764572,-0.2897778,1,0,0.9223543,-0.2897778,4
FullFlow2,3,0,-2.414228,2,-15,-17.41423,1.783443,2,0.07764572,-0.2897778,1,0,0.9223543,-0.2897778,9
FullFlow2,3,0,-6.333775,3,15,8.666225,2.385086,2,-0.07764572,-0.2897778,1,0,1,0.2,9
OppositeFlow,0,0,-45.28693,4,15,-30.28692,3.717545,2,-0.07764572,-0.2897778,1,0,1,0.2,10
FullFlow2,0,1,-41.62221,5,15,-26.62221,3.032334,2,-0.07764572,-0.2897778,1.5,0,1.5,0.2,9
SameFlow,0,1,-40.90966,6,0,-40.90966,3.293269,2,0,-0.3,1.5,0,1.5,-0.3,11
OppositeFlow,0,1,53.0638,7,-15,38.0638,4.575681,2,0.07764572,-0.2897778,1.5,0,1.422354,-0.2897778,10
OppositeFlow,3,0,-15.92069,8,-15,-30.92069,2.964366,2,0.07764572,-0.2897778,1,0,0.9223543,-0.2897778,10
SameFlow,0,1,-49.74652,9,0,-49.74652,3.418118,2,0,-0.3,1.5,0,1.5,-0.3,11
FullFlow2,1,1,4.679163,10,0,4.679163,1.718246,2,0,-0.3,1.5,0,1.5,-0.3,9
FullFlow2,3,1,-2.531228,11,0,-2.531228,1.435064,2,0,-0.3,1.5,0,1.5,-0.3,9
OppositeFlow,3,1,-9.583044,12,-15,-24.58304,2.195879,2,0.07764572,-0.2897778,1.5,0,1.422354,-0.2897778,10
SameFlow,3,0,-69.23506,13,15,-54.23507,4.030557,2,-0.07764572,-0.2897778,1,0,1,0.2,11
SameFlow,1,0,-1.755976,14,-15,-16.75598,3.493764,2,0.07764572,-0.2897778,1,0,0.9223543,-0.2897778,11
ControlCondition,1,1,7.064902,15,0,7.064902,2.868152,2,0,-0.3,1.5,0,1.5,-0.3,4
OppositeFlow,1,1,-19.05624,16,0,-19.05624,2.100625,2,0,-0.3,1.5,0,1.5,-0.3,10
FullFlow2,2,0,0.07330418,17,-15,-14.9267,1.648376,2,0.07764572,-0.2897778,1,0,0.9223543,-0.2897778,9
SameFlow,1,0,46.92448,18,-15,31.92448,2.949866,2,0.07764572,-0.2897778,1,0,0.9223543,-0.2897778,11
OppositeFlow,1,1,-47.80415,19,15,-32.80415,2.639333,2,-0.07764572,-0.2897778,1.5,0,1.5,0.2,10
OppositeFlow,1,0,24.09632,20,0,24.09632,2.947742,2,0,-0.3,1,0,1,-0.3,10
ControlCondition,3,0,4.411261,21,-15,-10.58874,1.56425,2,0.07764572,-0.2897778,1,0,0.9223543,-0.2897778,4
FullFlow2,0,0,-36.72414,22,15,-21.72415,4.706936,2,-0.07764572,-0.2897778,1,0,1,0.2,9
ControlCondition,1,1,0,23,0,0,1.390009,2,0,-0.3,1.5,0,1.5,-0.3,4
