OppositeFlow,1,0,1.465248,1,-15,-13.53475,1.05193,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,8
ControlCondition,0,0,-0.08081055,2,15,14.91919,1.67233,2,-0.05176381,-0.1931852,1,0,1,0.2,3
OppositeFlow,1,1,5.490478,3,-15,-9.509522,1.033337,2,0.05176381,-0.1931852,1.5,0,1.448236,-0.1931852,8
ControlCondition,2,1,0.6426697,4,-15,-14.35733,1.068894,2,0.05176381,-0.1931852,1.5,0,1.448236,-0.1931852,3
ControlCondition,2,1,3.678703,5,15,18.6787,1.267628,2,-0.05176381,-0.1931852,1.5,0,1.5,0.2,3
ControlCondition,3,1,10.09211,6,0,10.09211,1.886626,2,0,-0.2,1.5,0,1.5,-0.2,3
FullFlow2,0,0,-0.2252932,7,15,14.77471,1.336617,2,-0.05176381,-0.1931852,1,0,1,0.2,7
FullFlow2,1,1,11.25497,8,0,11.25497,1.152521,2,0,-0.2,1.5,0,1.5,-0.2,7
SameFlow,1,1,29.66819,9,-15,14.66819,1.468811,2,0.05176381,-0.1931852,1.5,0,1.448236,-0.1931852,9
OppositeFlow,2,0,5.910954,10,-15,-9.089046,1.202569,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,8
SameFlow,3,1,-1.411477,11,15,13.58852,1.052876,2,-0.05176381,-0.1931852,1.5,0,1.5,0.2,9
ControlCondition,0,0,0,12,0,0,0.2832441,2,0,-0.2,1,0,1,-0.2,3
FullFlow2,2,0,-0.7219257,13,15,14.27807,0.9519204,2,-0.05176381,-0.1931852,1,0,1,0.2,7
SameFlow,1,1,9.679571,14,0,9.679571,2.554897,2,0,-0.2,1.5,0,1.5,-0.2,9
FullFlow2,2,1,13.69714,1,0,13.69714,0.8837964,2,0,-0.2,1.5,0,1.5,-0.2,7
OppositeFlow,0,0,-1.146915,2,15,13.85308,1.018502,2,-0.05176381,-0.1931852,1,0,1,0.2,8
SameFlow,2,0,-0.4052267,3,15,14.59477,1.119562,2,-0.05176381,-0.1931852,1,0,1,0.2,9
OppositeFlow,0,0,3.570061,4,-15,-11.42994,0.9469897,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,8
SameFlow,0,0,24.76916,5,-15,9.76916,0.7859797,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,9
SameFlow,0,0,14.61306,6,0,14.61306,1.135799,2,0,-0.2,1,0,1,-0.2,9
SameFlow,2,1,2.764044,7,15,17.76404,1.28422,2,-0.05176381,-0.1931852,1.5,0,1.5,0.2,9
ControlCondition,1,1,0,8,0,0,0.3152302,2,0,-0.2,1.5,0,1.5,-0.2,3
OppositeFlow,2,0,-0.8394918,9,15,14.16051,1.118336,2,-0.05176381,-0.1931852,1,0,1,0.2,8
FullFlow2,0,0,29.51368,10,-15,14.51368,1.183558,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,7
SameFlow,2,0,32.25329,11,-15,17.25329,1.036328,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,9
FullFlow2,2,1,16.10041,12,0,16.10041,1.137926,2,0,-0.2,1.5,0,1.5,-0.2,7
FullFlow2,2,0,17.7777,13,0,17.7777,1.151287,2,0,-0.2,1,0,1,-0.2,7
FullFlow2,3,0,30.51621,14,-15,15.51621,1.752693,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,7
ControlCondition,3,0,17.26607,15,0,17.26607,1.06805,2,0,-0.2,1,0,1,-0.2,3
OppositeFlow,2,0,2.652208,16,-15,-12.34779,1.017758,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,8
FullFlow2,1,0,1.846474,17,15,16.84647,1.20203,2,-0.05176381,-0.1931852,1,0,1,0.2,7
FullFlow2,3,0,0.1048508,18,15,15.10485,1.15172,2,-0.05176381,-0.1931852,1,0,1,0.2,7
SameFlow,0,0,17.00819,19,0,17.00819,1.169062,2,0,-0.2,1,0,1,-0.2,9
FullFlow2,2,1,29.17965,20,-15,14.17965,0.9545543,2,0.05176381,-0.1931852,1.5,0,1.448236,-0.1931852,7
ControlCondition,1,0,3.270269,21,15,18.27027,1.20129,2,-0.05176381,-0.1931852,1,0,1,0.2,3
SameFlow,3,1,15.01076,22,0,15.01076,1.05172,2,0,-0.2,1.5,0,1.5,-0.2,9
FullFlow2,3,0,31.33258,23,-15,16.33258,1.219487,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,7
OppositeFlow,1,0,3.108595,24,15,18.10859,1.269445,2,-0.05176381,-0.1931852,1,0,1,0.2,8
FullFlow2,2,1,1.85651,25,15,16.85651,1.20225,2,-0.05176381,-0.1931852,1.5,0,1.5,0.2,7
ControlCondition,3,1,3.024967,26,15,18.02497,1.284116,2,-0.05176381,-0.1931852,1.5,0,1.5,0.2,3
OppositeFlow,1,0,15.27059,27,0,15.27059,1.152777,2,0,-0.2,1,0,1,-0.2,8
OppositeFlow,3,1,0.1453934,28,-15,-14.85461,1.235575,2,0.05176381,-0.1931852,1.5,0,1.448236,-0.1931852,8
SameFlow,0,0,13.57674,29,0,13.57674,1.119316,2,0,-0.2,1,0,1,-0.2,9
FullFlow2,0,0,15,30,-15,0,0.4368955,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,7
OppositeFlow,3,0,4.022053,31,15,19.02205,1.102782,2,-0.05176381,-0.1931852,1,0,1,0.2,8
FullFlow2,2,0,5.025869,32,15,20.02587,1.838602,2,-0.05176381,-0.1931852,1,0,1,0.2,7
