conditionName,apertureDegree,probeEccentricity,relativeTilt,trialNumber,probeAngle,absoluteTilt,reactionTime,stimulusTime,probeVelX,probeVelY,probeStartLocationX,probeStartLocationY,probeEndLocationX,probeEndLocationY,sceneIndex
ControlCondition,2,0,-0.06188393,1,-15,-15.06188,6.694482,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,3
ControlCondition,1,0,-4.588625,2,-15,-19.58862,1.776421,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,3
FullFlow1,2,0,15,3,-15,0,0.6605725,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,4
GlobalFlow,0,1,17.15254,4,0,17.15254,1.410227,2,0,-0.2,1,0,1,-0.2,5
LocalFlow,2,0,2.180946,5,15,17.18095,1.85896,2,-0.05176381,-0.1931852,1,0,1,0.2,6
ControlCondition,2,1,19.562,6,15,34.562,3.491009,2,-0.05176381,-0.1931852,1.5,0,1.5,0.2,3
FullFlow1,0,0,40.94613,7,0,40.94613,2.797112,2,0,-0.2,1,0,1,-0.2,4
LocalFlow,0,1,44.26428,8,-15,29.26428,1.740954,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,6
LocalFlow,3,0,15,9,-15,0,0.5756143,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,6
GlobalFlow,3,1,33.93002,10,0,33.93002,2.261326,2,0,-0.2,1,0,1,-0.2,5
FullFlow1,2,1,38.39994,11,-15,23.39994,1.960865,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,4
GlobalFlow,2,1,25.59458,12,-15,10.59458,0.9794759,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,5
GlobalFlow,2,0,12.49283,13,15,27.49283,2.045153,2,-0.05176381,-0.1931852,1,0,1,0.2,5
FullFlow1,2,1,27.58375,14,15,42.58375,3.027245,2,-0.05176381,-0.1931852,1,0,1,0.2,4
FullFlow1,3,0,31.15747,15,0,31.15747,1.677997,2,0,-0.2,1,0,1,-0.2,4
ControlCondition,2,1,16.60349,16,15,31.60349,2.259585,2,-0.05176381,-0.1931852,1.5,0,1.5,0.2,3
LocalFlow,0,0,15,17,-15,0,97.13136,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,6
