conditionName,apertureDegree,probeEccentricity,relativeTilt,trialNumber,probeAngle,absoluteTilt,reactionTime,stimulusTime,probeVelX,probeVelY,probeStartLocationX,probeStartLocationY,probeEndLocationX,probeEndLocationY,sceneIndex
GlobalFlow,2,0,3.694487,102,15,18.69449,4.268047,2,-0.05176381,-0.1931852,1,0,1,0.2,5
LocalFlow,0,0,9.048449,103,0,9.048449,3.034222,2,0,-0.2,1,0,1,-0.2,6
LocalFlow,1,1,15,104,-15,0,0.7127081,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,6
FullFlow1,2,0,25.87664,105,-15,10.87664,3.632579,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,4
LocalFlow,0,1,-6.440212,106,15,8.559788,2.485251,2,-0.05176381,-0.1931852,1,0,1,0.2,6
ControlCondition,1,0,0,107,0,0,1.686516,2,0,-0.2,1,0,1,-0.2,3
LocalFlow,3,0,0,108,0,0,0.9267108,2,0,-0.2,1,0,1,-0.2,6
LocalFlow,1,0,-15,109,15,0,0.4072006,2,-0.05176381,-0.1931852,1,0,1,0.2,6
GlobalFlow,0,0,25.96356,110,-15,10.96356,2.570719,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,5
LocalFlow,0,1,15,111,-15,0,0.5424036,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,6
GlobalFlow,3,0,14.86547,112,0,14.86547,3.637277,2,0,-0.2,1,0,1,-0.2,5
LocalFlow,0,0,15,113,-15,0,0.5096171,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,6
LocalFlow,2,1,-15,114,15,0,0.2789606,2,-0.05176381,-0.1931852,1,0,1,0.2,6
ControlCondition,0,0,0,115,0,0,0.4265657,2,0,-0.2,1,0,1,-0.2,3
GlobalFlow,1,1,16.79092,116,0,16.79092,4.532265,2,0,-0.2,1,0,1,-0.2,5
ControlCondition,2,1,15,117,-15,0,0.9198417,2,0.05176381,-0.1931852,1.5,0,1.448236,-0.1931852,3
FullFlow1,2,0,1.462694,118,15,16.46269,3.785094,2,-0.05176381,-0.1931852,1,0,1,0.2,4
LocalFlow,1,1,15,119,-15,0,0.5586084,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,6
ControlCondition,2,0,0,120,0,0,0.4926873,2,0,-0.2,1,0,1,-0.2,3
LocalFlow,0,0,0,121,0,0,0.4905367,2,0,-0.2,1,0,1,-0.2,6
LocalFlow,2,0,0,122,0,0,0.1287231,2,0,-0.2,1,0,1,-0.2,6
LocalFlow,1,1,-15,123,15,0,1.489681,2,-0.05176381,-0.1931852,1,0,1,0.2,6
ControlCondition,1,1,-7.434892,124,15,7.565108,1.822829,2,-0.05176381,-0.1931852,1.5,0,1.5,0.2,3
FullFlow1,3,0,1.706461,125,15,16.70646,3.965187,2,-0.05176381,-0.1931852,1,0,1,0.2,4
ControlCondition,1,1,15,126,-15,0,0.4089218,2,0.05176381,-0.1931852,1.5,0,1.448236,-0.1931852,3
ControlCondition,3,1,-15,127,15,0,1.371929,2,-0.05176381,-0.1931852,1.5,0,1.5,0.2,3
ControlCondition,1,0,-15,128,15,0,3.882965,2,-0.05176381,-0.1931852,1,0,1,0.2,3
FullFlow1,3,1,11.79968,129,0,11.79968,3.151034,2,0,-0.2,1,0,1,-0.2,4
FullFlow1,2,1,26.63802,130,-15,11.63802,3.450213,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,4
LocalFlow,2,1,12.37131,131,0,12.37131,3.716323,2,0,-0.2,1,0,1,-0.2,6
