conditionName,apertureDegree,probeEccentricity,relativeTilt,trialNumber,probeAngle,absoluteTilt,reactionTime,stimulusTime,probeVelX,probeVelY,probeStartLocationX,probeStartLocationY,probeEndLocationX,probeEndLocationY,sceneIndex
ControlCondition,3,1,-0.5427256,1,15,14.45727,5.808347,2,-0.05176381,-0.1931852,1.5,0,1.5,0.2,3
FullFlow1,3,1,36.93521,2,-15,21.93521,7.307157,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,4
LocalFlow,2,0,21.63692,3,-15,6.636922,5.994107,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,6
ControlCondition,3,0,6.728975,4,0,6.728975,3.53437,2,0,-0.2,1,0,1,-0.2,3
LocalFlow,0,0,1.872849,5,15,16.87285,4.798308,2,-0.05176381,-0.1931852,1,0,1,0.2,6
LocalFlow,3,1,10.13762,6,0,10.13762,3.069609,2,0,-0.2,1,0,1,-0.2,6
FullFlow1,1,0,27.71864,7,-15,12.71864,3.680969,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,4
ControlCondition,1,0,-3.612013,8,15,11.38799,3.031493,2,-0.05176381,-0.1931852,1,0,1,0.2,3
ControlCondition,1,1,15,9,-15,0,0.7581746,2,0.05176381,-0.1931852,1.5,0,1.448236,-0.1931852,3
GlobalFlow,2,0,28.04538,10,-15,13.04538,3.580708,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,5
LocalFlow,0,0,5.955879,11,15,20.95588,7.356901,2,-0.05176381,-0.1931852,1,0,1,0.2,6
ControlCondition,2,0,0,12,0,0,0.5728146,2,0,-0.2,1,0,1,-0.2,3
GlobalFlow,2,1,1.869204,13,15,16.8692,4.14636,2,-0.05176381,-0.1931852,1,0,1,0.2,5
FullFlow1,0,0,29.8727,14,-15,14.8727,5.147795,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,4
FullFlow1,3,1,13.62951,15,0,13.62951,3.433257,2,0,-0.2,1,0,1,-0.2,4
ControlCondition,3,1,-3.781625,16,15,11.21838,3.518478,2,-0.05176381,-0.1931852,1.5,0,1.5,0.2,3
LocalFlow,0,1,10.22564,17,0,10.22564,2.86966,2,0,-0.2,1,0,1,-0.2,6
GlobalFlow,2,0,5.610939,18,15,20.61094,6.85881,2,-0.05176381,-0.1931852,1,0,1,0.2,5
LocalFlow,0,0,15,19,-15,0,0.8940331,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,6
GlobalFlow,2,0,3.789497,20,15,18.7895,5.011237,2,-0.05176381,-0.1931852,1,0,1,0.2,5
LocalFlow,2,0,1.281811,21,15,16.28181,4.346241,2,-0.05176381,-0.1931852,1,0,1,0.2,6
GlobalFlow,0,0,3.124332,22,15,18.12433,5.095154,2,-0.05176381,-0.1931852,1,0,1,0.2,5
LocalFlow,0,1,7.647336,23,0,7.647336,4.448567,2,0,-0.2,1,0,1,-0.2,6
ControlCondition,3,0,9.183371,24,-15,-5.816629,2.703244,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,3
LocalFlow,1,0,15,25,-15,0,0.8432115,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,6
LocalFlow,3,1,-2.12431,26,15,12.87569,3.481128,2,-0.05176381,-0.1931852,1,0,1,0.2,6
GlobalFlow,0,1,-3.611756,27,15,11.38824,3.285758,2,-0.05176381,-0.1931852,1,0,1,0.2,5
GlobalFlow,3,0,1.874931,28,15,16.87493,4.808384,2,-0.05176381,-0.1931852,1,0,1,0.2,5
GlobalFlow,1,1,14.05502,29,0,14.05502,7.240908,2,0,-0.2,1,0,1,-0.2,5
LocalFlow,3,1,-4.113527,30,15,10.88647,2.802593,2,-0.05176381,-0.1931852,1,0,1,0.2,6
FullFlow1,2,0,3.448936,31,15,18.44894,5.03075,2,-0.05176381,-0.1931852,1,0,1,0.2,4
GlobalFlow,2,1,20.81733,32,-15,5.81733,3.020479,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,5
ControlCondition,2,1,4.3652,33,-15,-10.6348,3.282381,2,0.05176381,-0.1931852,1.5,0,1.448236,-0.1931852,3
LocalFlow,1,1,-3.875799,34,15,11.1242,5.977668,2,-0.05176381,-0.1931852,1,0,1,0.2,6
FullFlow1,0,1,5.233838,35,0,5.233838,6.273652,2,0,-0.2,1,0,1,-0.2,4
ControlCondition,2,0,-5.699269,36,15,9.300731,2.304653,2,-0.05176381,-0.1931852,1,0,1,0.2,3
ControlCondition,3,0,0,37,0,0,1.021841,2,0,-0.2,1,0,1,-0.2,3
LocalFlow,1,1,0,38,0,0,1.175714,2,0,-0.2,1,0,1,-0.2,6
GlobalFlow,2,0,1.779718,39,15,16.77972,4.93391,2,-0.05176381,-0.1931852,1,0,1,0.2,5
ControlCondition,3,0,-7.358375,40,15,7.641625,2.387815,2,-0.05176381,-0.1931852,1,0,1,0.2,3
GlobalFlow,0,1,-0.3650665,41,15,14.63493,3.66341,2,-0.05176381,-0.1931852,1,0,1,0.2,5
GlobalFlow,0,0,15,42,-15,0,1.009569,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,5
FullFlow1,3,1,15,43,-15,0,2.068575,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,4
FullFlow1,0,1,15,44,-15,0,0.5719683,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,4
ControlCondition,2,0,6.944051,45,-15,-8.055949,3.980498,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,3
FullFlow1,2,1,16.79573,46,0,16.79573,4.233281,2,0,-0.2,1,0,1,-0.2,4
FullFlow1,0,1,15,47,-15,0,0.8557312,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,4
ControlCondition,3,0,0,48,0,0,0.5677663,2,0,-0.2,1,0,1,-0.2,3
GlobalFlow,2,0,15,49,-15,0,4.050773,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,5
FullFlow1,2,1,12.14107,50,0,12.14107,3.469467,2,0,-0.2,1,0,1,-0.2,4
ControlCondition,0,0,8.015533,51,-15,-6.984467,4.149327,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,3
LocalFlow,2,1,0.3448296,52,15,15.34483,3.333577,2,-0.05176381,-0.1931852,1,0,1,0.2,6
ControlCondition,2,1,0,53,0,0,1.189586,2,0,-0.2,1.5,0,1.5,-0.2,3
GlobalFlow,1,1,13.46763,54,0,13.46763,3.967148,2,0,-0.2,1,0,1,-0.2,5
ControlCondition,0,1,0,55,0,0,0.5273302,2,0,-0.2,1.5,0,1.5,-0.2,3
LocalFlow,2,1,15,56,-15,0,0.538654,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,6
ControlCondition,1,1,0,57,0,0,0.427477,2,0,-0.2,1.5,0,1.5,-0.2,3
GlobalFlow,2,0,12.12581,58,0,12.12581,2.919929,2,0,-0.2,1,0,1,-0.2,5
ControlCondition,2,0,-4.198287,59,15,10.80171,2.704939,2,-0.05176381,-0.1931852,1,0,1,0.2,3
ControlCondition,2,1,6.937407,60,-15,-8.062593,5.145583,2,0.05176381,-0.1931852,1.5,0,1.448236,-0.1931852,3
LocalFlow,0,0,7.764791,61,15,22.76479,6.671751,2,-0.05176381,-0.1931852,1,0,1,0.2,6
ControlCondition,3,1,0,62,0,0,0.9069632,2,0,-0.2,1.5,0,1.5,-0.2,3
FullFlow1,1,1,12.21494,63,0,12.21494,3.564055,2,0,-0.2,1,0,1,-0.2,4
LocalFlow,2,0,-0.2147493,64,15,14.78525,3.967985,2,-0.05176381,-0.1931852,1,0,1,0.2,6
ControlCondition,0,0,15,65,-15,0,0.3755792,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,3
LocalFlow,3,1,-0.04117393,66,15,14.95883,3.415775,2,-0.05176381,-0.1931852,1,0,1,0.2,6
ControlCondition,2,0,7.185206,67,-15,-7.814794,3.238371,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,3
GlobalFlow,3,1,3.866945,68,15,18.86695,4.495757,2,-0.05176381,-0.1931852,1,0,1,0.2,5
FullFlow1,2,0,28.46333,69,-15,13.46333,4.763839,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,4
FullFlow1,0,0,29.95583,70,-15,14.95583,10.36189,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,4
FullFlow1,0,1,12.14255,71,0,12.14255,3.847116,2,0,-0.2,1,0,1,-0.2,4
ControlCondition,0,0,-9.172382,72,15,5.827618,9.134839,2,-0.05176381,-0.1931852,1,0,1,0.2,3
ControlCondition,3,0,-15,73,15,0,3.050341,2,-0.05176381,-0.1931852,1,0,1,0.2,3
ControlCondition,1,1,15,74,-15,0,5.760821,2,0.05176381,-0.1931852,1.5,0,1.448236,-0.1931852,3
ControlCondition,1,1,0,75,0,0,0.5070622,2,0,-0.2,1.5,0,1.5,-0.2,3
GlobalFlow,0,1,-1.049309,76,15,13.95069,3.51439,2,-0.05176381,-0.1931852,1,0,1,0.2,5
GlobalFlow,2,0,24.88185,77,-15,9.881846,2.552272,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,5
ControlCondition,1,1,-7.272778,78,15,7.727222,2.265307,2,-0.05176381,-0.1931852,1.5,0,1.5,0.2,3
GlobalFlow,1,0,23.72099,79,-15,8.720988,3.034513,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,5
GlobalFlow,3,1,15,80,-15,0,0.460621,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,5
LocalFlow,2,1,0,81,0,0,0.5570242,2,0,-0.2,1,0,1,-0.2,6
GlobalFlow,3,0,9.307736,82,0,9.307736,2.828745,2,0,-0.2,1,0,1,-0.2,5
FullFlow1,2,0,0,83,0,0,3.614394,2,0,-0.2,1,0,1,-0.2,4
GlobalFlow,2,0,11.4701,84,0,11.4701,2.903929,2,0,-0.2,1,0,1,-0.2,5
GlobalFlow,1,0,12.39103,85,0,12.39103,2.999822,2,0,-0.2,1,0,1,-0.2,5
FullFlow1,2,1,15.23995,86,0,15.23995,3.841927,2,0,-0.2,1,0,1,-0.2,4
FullFlow1,3,1,5.523418,87,15,20.52342,4.781114,2,-0.05176381,-0.1931852,1,0,1,0.2,4
LocalFlow,3,0,19.99321,88,-15,4.993209,1.953685,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,6
ControlCondition,3,0,-7.192313,89,15,7.807687,2.069206,2,-0.05176381,-0.1931852,1,0,1,0.2,3
ControlCondition,3,0,-7.189864,90,15,7.810136,2.131283,2,-0.05176381,-0.1931852,1,0,1,0.2,3
FullFlow1,3,0,25.39474,91,-15,10.39474,2.62266,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,4
FullFlow1,0,0,9.639127,92,0,9.639127,2.931766,2,0,-0.2,1,0,1,-0.2,4
ControlCondition,3,1,-6.609516,93,15,8.390484,2.406354,2,-0.05176381,-0.1931852,1.5,0,1.5,0.2,3
GlobalFlow,3,1,22.56359,94,-15,7.563589,2.480011,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,5
LocalFlow,1,1,-5.860602,95,15,9.139398,2.584801,2,-0.05176381,-0.1931852,1,0,1,0.2,6
ControlCondition,2,1,-15,96,15,0,0.4458121,2,-0.05176381,-0.1931852,1.5,0,1.5,0.2,3
LocalFlow,0,0,6.733969,97,0,6.733969,1.840302,2,0,-0.2,1,0,1,-0.2,6
GlobalFlow,2,1,24.1469,98,-15,9.146899,2.451113,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,5
LocalFlow,1,0,-3.281866,99,15,11.71813,3.051011,2,-0.05176381,-0.1931852,1,0,1,0.2,6
LocalFlow,3,0,9.963205,100,0,9.963205,2.471314,2,0,-0.2,1,0,1,-0.2,6
LocalFlow,1,1,20.15302,101,-15,5.15302,1.423916,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,6
