conditionName,apertureDegree,probeEccentricity,relativeTilt,trialNumber,probeAngle,absoluteTilt,reactionTime,stimulusTime,probeVelX,probeVelY,probeStartLocationX,probeStartLocationY,probeEndLocationX,probeEndLocationY,sceneIndex
FullFlow1,1,1,19.82569,31,-15,4.825689,2.120905,2,0.07764572,-0.2897778,1,0,0.9223543,-0.2897778,6
ControlCondition,0,1,-21.58096,32,-15,-36.58096,3.342364,2,0.07764572,-0.2897778,1.5,0,1.422354,-0.2897778,4
ControlCondition,0,0,-61.74292,33,15,-46.74292,3.476791,2,-0.07764572,-0.2897778,1,0,1,0.2,4
GlobalFlow,3,0,-15,34,15,0,1.50114,2,-0.07764572,-0.2897778,1,0,1,0.2,7
LocalFlow,3,1,32.09585,35,0,32.09585,3.048516,2,0,-0.3,1,0,1,-0.3,8
FullFlow1,3,0,24.04425,36,0,24.04425,3.438043,2,0,-0.3,1,0,1,-0.3,6
GlobalFlow,1,1,-15,37,15,0,1.513222,2,-0.07764572,-0.2897778,1,0,1,0.2,7
FullFlow1,0,0,50.46561,38,-15,35.46561,3.357629,2,0.07764572,-0.2897778,1,0,0.9223543,-0.2897778,6
ControlCondition,3,1,15.8817,39,15,30.8817,4.961527,2,-0.07764572,-0.2897778,1.5,0,1.5,0.2,4
LocalFlow,0,0,22.30007,40,0,22.30007,2.147132,2,0,-0.3,1,0,1,-0.3,8
FullFlow1,0,0,45.97815,41,0,45.97815,4.237411,2,0,-0.3,1,0,1,-0.3,6
LocalFlow,0,0,-36.65176,42,0,-36.65176,3.053255,2,0,-0.3,1,0,1,-0.3,8
FullFlow1,3,0,0,43,0,0,1.5213,2,0,-0.3,1,0,1,-0.3,6
LocalFlow,1,0,-8.756046,44,-15,-23.75605,3.62604,2,0.07764572,-0.2897778,1,0,0.9223543,-0.2897778,8
GlobalFlow,3,0,37.5558,45,0,37.5558,3.344405,2,0,-0.3,1,0,1,-0.3,7
ControlCondition,0,1,-13.98538,46,0,-13.98538,2.722914,2,0,-0.3,1.5,0,1.5,-0.3,4
ControlCondition,1,1,-67.23236,47,15,-52.23236,3.578813,2,-0.07764572,-0.2897778,1.5,0,1.5,0.2,4
ControlCondition,2,1,1.378269,48,15,16.37827,2.492358,2,-0.07764572,-0.2897778,1.5,0,1.5,0.2,4
GlobalFlow,3,0,-30.46847,49,-15,-45.46847,3.318203,2,0.07764572,-0.2897778,1,0,0.9223543,-0.2897778,7
GlobalFlow,1,1,42.69713,50,0,42.69713,3.330017,2,0,-0.3,1,0,1,-0.3,7
FullFlow1,3,0,0,51,0,0,1.665825,2,0,-0.3,1,0,1,-0.3,6
ControlCondition,1,0,-31.83953,52,0,-31.83953,2.989808,2,0,-0.3,1,0,1,-0.3,4
GlobalFlow,3,0,0,53,0,0,3.709512,2,0,-0.3,1,0,1,-0.3,7
ControlCondition,1,1,44.32647,54,0,44.32647,3.48157,2,0,-0.3,1.5,0,1.5,-0.3,4
FullFlow1,2,0,58.5378,55,-15,43.5378,3.34095,2,0.07764572,-0.2897778,1,0,0.9223543,-0.2897778,6
FullFlow1,3,0,-46.14794,56,0,-46.14794,3.109734,2,0,-0.3,1,0,1,-0.3,6
LocalFlow,2,0,-13.14594,57,0,-13.14594,1.779094,2,0,-0.3,1,0,1,-0.3,8
GlobalFlow,1,1,-57.74324,58,0,-57.74324,3.727094,2,0,-0.3,1,0,1,-0.3,7
ControlCondition,0,1,-25.98122,59,0,-25.98122,4.666745,2,0,-0.3,1.5,0,1.5,-0.3,4
LocalFlow,1,1,18.06624,60,0,18.06624,2.429353,2,0,-0.3,1,0,1,-0.3,8
ControlCondition,0,1,52.62466,61,0,52.62466,3.969879,2,0,-0.3,1.5,0,1.5,-0.3,4
GlobalFlow,3,0,-78.20765,62,15,-63.20765,4.197635,2,-0.07764572,-0.2897778,1,0,1,0.2,7
GlobalFlow,1,1,24.90059,63,-15,9.900591,4.367443,2,0.07764572,-0.2897778,1,0,0.9223543,-0.2897778,7
ControlCondition,0,1,0,64,0,0,2.058122,2,0,-0.3,1.5,0,1.5,-0.3,4
LocalFlow,1,1,0,65,0,0,2.309163,2,0,-0.3,1,0,1,-0.3,8
ControlCondition,0,1,19.602,66,0,19.602,2.545842,2,0,-0.3,1.5,0,1.5,-0.3,4
LocalFlow,3,0,-20.32032,67,-15,-35.32032,3.132838,2,0.07764572,-0.2897778,1,0,0.9223543,-0.2897778,8
LocalFlow,3,1,-84.98651,68,15,-69.98651,4.62606,2,-0.07764572,-0.2897778,1,0,1,0.2,8
FullFlow1,0,0,29.44967,69,-15,14.44967,4.286421,2,0.07764572,-0.2897778,1,0,0.9223543,-0.2897778,6
ControlCondition,0,0,28.69671,70,0,28.69671,2.985325,2,0,-0.3,1,0,1,-0.3,4
LocalFlow,3,1,46.92844,71,-15,31.92843,4.377143,2,0.07764572,-0.2897778,1,0,0.9223543,-0.2897778,8
GlobalFlow,2,0,-33.91444,72,0,-33.91444,2.620138,2,0,-0.3,1,0,1,-0.3,7
GlobalFlow,2,0,-73.50325,73,15,-58.50325,3.664097,2,-0.07764572,-0.2897778,1,0,1,0.2,7
ControlCondition,3,0,-81.03041,74,15,-66.03041,5.680586,2,-0.07764572,-0.2897778,1,0,1,0.2,4
ControlCondition,1,0,-32.1291,75,0,-32.1291,3.016853,2,0,-0.3,1,0,1,-0.3,4
FullFlow1,1,1,-73.58816,76,0,-73.58816,4.330934,2,0,-0.3,1,0,1,-0.3,6
LocalFlow,2,1,27.71386,77,-15,12.71386,2.787583,2,0.07764572,-0.2897778,1,0,0.9223543,-0.2897778,8
LocalFlow,2,1,-95.23731,78,15,-80.23731,4.347093,2,-0.07764572,-0.2897778,1,0,1,0.2,8
GlobalFlow,1,1,-50.07437,79,0,-50.07437,3.090642,2,0,-0.3,1,0,1,-0.3,7
GlobalFlow,1,1,-54.13879,80,15,-39.13879,3.364264,2,-0.07764572,-0.2897778,1,0,1,0.2,7
FullFlow1,2,0,-51.30515,81,0,-51.30515,4.522696,2,0,-0.3,1,0,1,-0.3,6
ControlCondition,1,1,-51.09275,82,0,-51.09275,3.603141,2,0,-0.3,1.5,0,1.5,-0.3,4
GlobalFlow,0,0,-96.53325,83,15,-81.53325,4.315237,2,-0.07764572,-0.2897778,1,0,1,0.2,7
GlobalFlow,0,0,-62.62717,84,15,-47.62717,2.98001,2,-0.07764572,-0.2897778,1,0,1,0.2,7
ControlCondition,1,1,-79.674,85,15,-64.674,5.639723,2,-0.07764572,-0.2897778,1.5,0,1.5,0.2,4
GlobalFlow,1,1,-19.46024,86,15,-4.460241,2.32578,2,-0.07764572,-0.2897778,1,0,1,0.2,7
FullFlow1,2,1,37.4873,87,-15,22.4873,2.514789,2,0.07764572,-0.2897778,1,0,0.9223543,-0.2897778,6
LocalFlow,0,0,-69.94109,88,15,-54.94109,4.075179,2,-0.07764572,-0.2897778,1,0,1,0.2,8
LocalFlow,2,0,26.10692,89,-15,11.10692,2.375706,2,0.07764572,-0.2897778,1,0,0.9223543,-0.2897778,8
GlobalFlow,2,1,-6.329773,90,0,-6.329773,1.912458,2,0,-0.3,1,0,1,-0.3,7
ControlCondition,1,0,-3.799427,91,0,-3.799427,1.384175,2,0,-0.3,1,0,1,-0.3,4
GlobalFlow,0,0,-71.72966,92,15,-56.72966,3.522781,2,-0.07764572,-0.2897778,1,0,1,0.2,7
FullFlow1,2,0,51.87798,93,-15,36.87798,2.943103,2,0.07764572,-0.2897778,1,0,0.9223543,-0.2897778,6
LocalFlow,1,1,-39.71828,94,0,-39.71828,2.878171,2,0,-0.3,1,0,1,-0.3,8
ControlCondition,2,0,30.39842,95,-15,15.39842,2.357857,2,0.07764572,-0.2897778,1,0,0.9223543,-0.2897778,4
FullFlow1,1,0,69.26392,96,-15,54.26392,4.820327,2,0.07764572,-0.2897778,1,0,0.9223543,-0.2897778,6
FullFlow1,3,1,33.20539,97,0,33.20539,2.970915,2,0,-0.3,1,0,1,-0.3,6
LocalFlow,1,1,-88.79799,98,15,-73.79799,3.918076,2,-0.07764572,-0.2897778,1,0,1,0.2,8
FullFlow1,3,1,-52.69628,99,15,-37.69628,2.87925,2,-0.07764572,-0.2897778,1,0,1,0.2,6
LocalFlow,3,1,12.19738,100,15,27.19738,3.667523,2,-0.07764572,-0.2897778,1,0,1,0.2,8
ControlCondition,0,1,-14.66852,101,-15,-29.66852,2.738682,2,0.07764572,-0.2897778,1.5,0,1.422354,-0.2897778,4
FullFlow1,2,0,12.73008,102,15,27.73008,3.000989,2,-0.07764572,-0.2897778,1,0,1,0.2,6
LocalFlow,1,0,58.4141,103,-15,43.4141,3.016639,2,0.07764572,-0.2897778,1,0,0.9223543,-0.2897778,8
GlobalFlow,3,1,-15,104,15,0,1.360793,2,-0.07764572,-0.2897778,1,0,1,0.2,7
ControlCondition,2,0,-72.99536,105,15,-57.99536,3.392572,2,-0.07764572,-0.2897778,1,0,1,0.2,4
ControlCondition,3,1,-1.846863,106,-15,-16.84686,2.335457,2,0.07764572,-0.2897778,1.5,0,1.422354,-0.2897778,4
LocalFlow,2,1,-18.86945,107,-15,-33.86945,2.79039,2,0.07764572,-0.2897778,1,0,0.9223543,-0.2897778,8
ControlCondition,0,0,-36.24232,108,0,-36.24232,2.605472,2,0,-0.3,1,0,1,-0.3,4
GlobalFlow,2,0,-71.82417,109,15,-56.82418,3.311159,2,-0.07764572,-0.2897778,1,0,1,0.2,7
FullFlow1,1,1,-6.772661,110,-15,-21.77266,3.582485,2,0.07764572,-0.2897778,1,0,0.9223543,-0.2897778,6
