conditionName,apertureDegree,probeEccentricity,relativeTilt,trialNumber,probeAngle,absoluteTilt,reactionTime,stimulusTime,probeVelX,probeVelY,probeStartLocationX,probeStartLocationY,probeEndLocationX,probeEndLocationY,sceneIndex
SameFlow,1,1,-0.2881956,74,15,14.7118,3.454568,2,-0.05176381,-0.1931852,1.5,0,1.5,0.2,9
SameFlow,1,0,0.7944641,75,15,15.79446,4.336703,2,-0.05176381,-0.1931852,1,0,1,0.2,9
ControlCondition,0,0,0,76,0,0,11.26513,2,0,-0.2,1,0,1,-0.2,3
OppositeFlow,1,0,15,77,-15,0,0.3559691,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,8
ControlCondition,3,1,0,78,0,0,0.4272775,2,0,-0.2,1.5,0,1.5,-0.2,3
SameFlow,3,1,9.971375,79,0,9.971375,2.887105,2,0,-0.2,1.5,0,1.5,-0.2,9
OppositeFlow,0,1,0,80,0,0,0.4740286,2,0,-0.2,1.5,0,1.5,-0.2,8
ControlCondition,1,1,-4.279077,81,15,10.72092,4.441196,2,-0.05176381,-0.1931852,1.5,0,1.5,0.2,3
ControlCondition,2,1,15,82,-15,0,0.8373061,2,0.05176381,-0.1931852,1.5,0,1.448236,-0.1931852,3
SameFlow,1,0,3.61396,83,15,18.61396,4.480612,2,-0.05176381,-0.1931852,1,0,1,0.2,9
ControlCondition,1,0,0,84,0,0,0.5815843,2,0,-0.2,1,0,1,-0.2,3
