conditionName,apertureDegree,probeEccentricity,relativeTilt,trialNumber,probeAngle,absoluteTilt,reactionTime,stimulusTime,probeVelX,probeVelY,probeStartLocationX,probeStartLocationY,probeEndLocationX,probeEndLocationY,sceneIndex
OppositeFlow,0,0,-4.252352,1,15,10.74765,3.561353,2,-0.05176381,-0.1931852,1,0,1,0.2,8
ControlCondition,2,0,-3.664881,2,15,11.33512,2.253672,2,-0.05176381,-0.1931852,1,0,1,0.2,3
FullFlow2,2,1,16.01407,3,15,31.01407,2.426823,2,-0.05176381,-0.1931852,1.5,0,1.5,0.2,7
ControlCondition,3,0,-2.607096,4,-15,-17.6071,1.629975,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,3
ControlCondition,2,1,-3.286295,5,-15,-18.28629,1.3835,2,0.05176381,-0.1931852,1.5,0,1.448236,-0.1931852,3
FullFlow2,2,0,15,6,-15,0,0.5934988,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,7
ControlCondition,2,0,-2.923377,7,15,12.07662,1.08799,2,-0.05176381,-0.1931852,1,0,1,0.2,3
FullFlow2,3,1,4.901481,8,-15,-10.09852,1.225614,2,0.05176381,-0.1931852,1.5,0,1.448236,-0.1931852,7
OppositeFlow,0,0,2.156704,9,15,17.1567,1.294684,2,-0.05176381,-0.1931852,1,0,1,0.2,8
OppositeFlow,0,0,0.7513857,10,0,0.7513857,3.077164,2,0,-0.2,1,0,1,-0.2,8
FullFlow2,1,1,7.374373,11,-15,-7.625627,2.812544,2,0.05176381,-0.1931852,1.5,0,1.448236,-0.1931852,7
ControlCondition,1,1,-9.637383,12,0,-9.637383,1.036504,2,0,-0.2,1.5,0,1.5,-0.2,3
SameFlow,1,1,17.65773,13,0,17.65773,1.277694,2,0,-0.2,1.5,0,1.5,-0.2,9
FullFlow2,3,1,15,14,-15,0,0.8773237,2,0.05176381,-0.1931852,1.5,0,1.448236,-0.1931852,7
FullFlow2,2,0,6.668294,15,-15,-8.331706,1.212147,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,7
FullFlow2,2,1,15,16,-15,0,0.8778943,2,0.05176381,-0.1931852,1.5,0,1.448236,-0.1931852,7
SameFlow,0,0,14.36747,17,15,29.36747,2.910367,2,-0.05176381,-0.1931852,1,0,1,0.2,9
FullFlow2,0,0,27.96988,18,-15,12.96988,1.860065,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,7
SameFlow,2,1,10.43958,19,0,10.43958,2.111259,2,0,-0.2,1.5,0,1.5,-0.2,9
FullFlow2,1,1,16.09576,20,0,16.09576,1.343538,2,0,-0.2,1.5,0,1.5,-0.2,7
OppositeFlow,0,1,2.070026,21,15,17.07003,1.244368,2,-0.05176381,-0.1931852,1.5,0,1.5,0.2,8
FullFlow2,3,0,15,22,-15,0,0.7908507,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,7
FullFlow2,2,1,0,23,0,0,0.5091203,2,0,-0.2,1.5,0,1.5,-0.2,7
OppositeFlow,1,1,3.499123,24,15,18.49912,1.759595,2,-0.05176381,-0.1931852,1.5,0,1.5,0.2,8
ControlCondition,1,1,1.691661,25,-15,-13.30834,2.255506,2,0.05176381,-0.1931852,1.5,0,1.448236,-0.1931852,3
FullFlow2,3,1,16.42017,26,15,31.42017,2.243906,2,-0.05176381,-0.1931852,1.5,0,1.5,0.2,7
ControlCondition,2,0,-3.167055,27,-15,-18.16706,1.816639,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,3
FullFlow2,3,1,-5.191229,28,-15,-20.19123,1.659997,2,0.05176381,-0.1931852,1.5,0,1.448236,-0.1931852,7
OppositeFlow,1,1,-2.91526,29,-15,-17.91526,2.294949,2,0.05176381,-0.1931852,1.5,0,1.448236,-0.1931852,8
FullFlow2,3,0,-26.72898,30,15,-11.72898,2.591632,2,-0.05176381,-0.1931852,1,0,1,0.2,7
ControlCondition,1,0,-0.4490013,31,-15,-15.449,1.820649,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,3
ControlCondition,3,0,-2.159834,32,15,12.84017,1.361336,2,-0.05176381,-0.1931852,1,0,1,0.2,3
FullFlow2,0,1,5.395174,33,15,20.39517,1.728554,2,-0.05176381,-0.1931852,1.5,0,1.5,0.2,7
FullFlow2,3,0,22.65611,34,0,22.65611,1.808235,2,0,-0.2,1,0,1,-0.2,7
SameFlow,1,1,5.763597,35,-15,-9.236403,1.476936,2,0.05176381,-0.1931852,1.5,0,1.448236,-0.1931852,9
FullFlow2,2,1,15.90427,36,0,15.90427,1.406994,2,0,-0.2,1.5,0,1.5,-0.2,7
OppositeFlow,2,0,-5.485095,37,0,-5.485095,1.292537,2,0,-0.2,1,0,1,-0.2,8
ControlCondition,3,1,0,38,0,0,1.029005,2,0,-0.2,1.5,0,1.5,-0.2,3
OppositeFlow,0,0,0,39,0,0,0.9946104,2,0,-0.2,1,0,1,-0.2,8
FullFlow2,3,1,-0.8233213,40,15,14.17668,1.342626,2,-0.05176381,-0.1931852,1.5,0,1.5,0.2,7
SameFlow,1,0,3.907927,41,15,18.90793,1.528149,2,-0.05176381,-0.1931852,1,0,1,0.2,9
FullFlow2,2,0,0,42,0,0,0.6076227,2,0,-0.2,1,0,1,-0.2,7
SameFlow,3,1,5.835312,43,15,20.83531,1.578687,2,-0.05176381,-0.1931852,1.5,0,1.5,0.2,9
SameFlow,2,1,9.56526,44,15,24.56526,1.578162,2,-0.05176381,-0.1931852,1.5,0,1.5,0.2,9
SameFlow,1,1,9.844154,45,15,24.84415,1.860634,2,-0.05176381,-0.1931852,1.5,0,1.5,0.2,9
OppositeFlow,1,0,1.51195,46,-15,-13.48805,1.075778,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,8
OppositeFlow,2,1,0,47,0,0,0.3588233,2,0,-0.2,1.5,0,1.5,-0.2,8
OppositeFlow,2,0,-1.676039,48,-15,-16.67604,1.245625,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,8
FullFlow2,2,0,16.25635,49,-15,1.256349,1.630726,2,0.05176381,-0.1931852,1,0,0.9482362,-0.1931852,7
OppositeFlow,0,0,0,50,0,0,1.360802,2,0,-0.2,1,0,1,-0.2,8
ControlCondition,2,1,0.7475843,51,-15,-14.25242,1.385772,2,0.05176381,-0.1931852,1.5,0,1.448236,-0.1931852,3
OppositeFlow,2,0,-2.790277,52,15,12.20972,2.143453,2,-0.05176381,-0.1931852,1,0,1,0.2,8
OppositeFlow,3,1,1.170235,53,15,16.17023,1.144743,2,-0.05176381,-0.1931852,1.5,0,1.5,0.2,8
OppositeFlow,2,0,3.474125,54,15,18.47412,1.494453,2,-0.05176381,-0.1931852,1,0,1,0.2,8
FullFlow2,2,1,10.92331,55,0,10.92331,1.341276,2,0,-0.2,1.5,0,1.5,-0.2,7
OppositeFlow,0,0,0,56,0,0,0.4607373,2,0,-0.2,1,0,1,-0.2,8
ControlCondition,2,1,0,57,0,0,1.504195,2,0,-0.2,1.5,0,1.5,-0.2,3
ControlCondition,3,1,5.008831,58,15,20.00883,1.652893,2,-0.05176381,-0.1931852,1.5,0,1.5,0.2,3
